"","uid","cover"
"713","VP.3.B.31.2016",101
"714","VP.3.B.47.2016",116
"715","VP.3.B.52.2017",122
"716","VP.3.B.7.2017",77
"717","VP.3.B.73.2015",116
"718","VP.3.B.74.2016",146
"719","VP.3.B.82.2017",131
"720","VP.3.B.88.2015",128
"721","VP.3.C.3.2016",109
"722","VP.3.C.31.2017",80
"723","VP.3.C.47.2017",113
"724","VP.3.C.52.2015",95
"725","VP.3.C.7.2015",130
"726","VP.3.C.73.2016",149
"727","VP.3.C.74.2017",155
"728","VP.3.C.82.2015",151
"729","VP.3.C.88.2016",127
"730","VP.4.A.13.2015",133
"731","VP.4.A.19.2017",105
"732","VP.4.A.2.2017",129
"733","VP.4.A.38.2017",95
"734","VP.4.A.58.2016",126
"735","VP.4.A.65.2016",88
"736","VP.4.A.73.2016",98
"737","VP.4.A.84.2015",130
"738","VP.4.A.85.2015",146
"739","VP.4.B.19.2015",102
"740","VP.4.B.2.2015",101
"741","VP.4.B.24.2016",148
"742","VP.4.B.38.2015",100
"743","VP.4.B.58.2017",106
"744","VP.4.B.65.2017",111
"745","VP.4.B.67.2016",145
"746","VP.4.B.73.2017",171
"747","VP.4.B.9.2016",155
"748","VP.4.C.00a.2015",135
"749","VP.4.C.00b.2015",140
"750","VP.4.C.00c.2015",113
"751","VP.4.C.19.2016",84
"752","VP.4.C.2.2016",59
"753","VP.4.C.24.2017",81
"754","VP.4.C.38.2016",124
"755","VP.4.C.67.2017",156
"756","VP.4.C.9.2017",111
"757","VP.5.A.10.2015",83
"758","VP.5.A.10.2017",85
"759","VP.5.A.14.2016",114
"760","VP.5.A.28.2016",134
"761","VP.5.A.29.2017",76
"762","VP.5.A.41.2016",135
"763","VP.5.A.78.2015",112
"764","VP.5.A.80.2017",117
"765","VP.5.A.83.2015",57
"766","VP.5.B.10.2015",146
"767","VP.5.B.10.2016",110
"768","VP.5.B.14.2017",154
"769","VP.5.B.28.2017",133
"770","VP.5.B.29.2015",129
"771","VP.5.B.41.2017",168
"772","VP.5.B.78.2016",124
"773","VP.5.B.80.2015",106
"774","VP.5.B.83.2016",135
"775","VP.5.C.10.2016",124
"776","VP.5.C.10.2017",88
"777","VP.5.C.14.2015",161
"778","VP.5.C.28.2015",107
"779","VP.5.C.29.2016",116
"780","VP.5.C.41.2015",164
"781","VP.5.C.78.2017",132
"782","VP.5.C.80.2016",100
"783","VP.5.C.83.2017",146
"784","VP.6.A.16.2015",117
"785","VP.6.A.3.2016",51
"786","VP.6.A.42.2015",94
"787","VP.6.A.47.2017",86
"788","VP.6.A.48.2017",89
"789","VP.6.A.53.2015",101
"790","VP.6.A.79.2016",60
"791","VP.6.A.86.2017",118
"792","VP.6.A.96.2016",74
"793","VP.6.B.13.2016",151
"794","VP.6.B.3.2017",146
"795","VP.6.B.47.2015",121
"796","VP.6.B.48.2015",121
"797","VP.6.B.79.2017",129
"798","VP.6.B.84.2016",133
"799","VP.6.B.85.2016",144
"800","VP.6.B.86.2015",78
"801","VP.6.B.96.2017",70
"802","VP.6.C.13.2017",156
"803","VP.6.C.3.2015",145
"804","VP.6.C.47.2016",125
"805","VP.6.C.48.2016",151
"806","VP.6.C.79.2015",138
"807","VP.6.C.84.2017",120
"808","VP.6.C.85.2017",157
"809","VP.6.C.86.2016",94
"810","VP.6.C.96.2015",141
"811","VP.7.A.17.2017",128
"812","VP.7.A.24.2016",80
"813","VP.7.A.24.2017",91
"814","VP.7.A.33.2017",119
"815","VP.7.A.50.2015",99
"816","VP.7.A.59.2015",111
"817","VP.7.A.63.2016",71
"818","VP.7.A.98.2015",160
"819","VP.7.A.99.2016",123
"820","VP.7.B.17.2015",147
