"uid","cover"
"LM.7.C.17.2016",159
"LM.7.C.24.2015",131
"LM.7.C.24.2016",125
"LM.7.C.24.2017",149
"LM.7.C.33.2016",116
"LM.7.C.63.2015",106
"LM.7.C.63.2017",102
"LM.7.C.99.2015",141
"LM.7.C.99.2017",153
"LM.8.A.12.2016",97
"LM.8.A.16.2015",127
"LM.8.A.31.2016",167
"LM.8.A.42.2015",127
"LM.8.A.45.2017",189
"LM.8.A.47.2016",85
"LM.8.A.66.2017",149
"LM.8.A.73.2015",170
"LM.8.A.91.2017",126
"LM.8.B.12.2017",146
"LM.8.B.16.2016",111
"LM.8.B.31.2017",119
"LM.8.B.42.2016",119
"LM.8.B.45.2015",171
"LM.8.B.47.2017",131
"LM.8.B.53.2016",130
"LM.8.B.66.2015",123
"LM.8.B.91.2015",143
"LM.8.C.12.2015",111
"LM.8.C.16.2017",130
"LM.8.C.31.2015",152
"LM.8.C.42.2017",141
"LM.8.C.45.2016",115
"LM.8.C.47.2015",125
"LM.8.C.53.2017",142
"LM.8.C.66.2016",146
"LM.8.C.91.2016",190
"VP.1.A.20.2017",124
"VP.1.A.29.2016",131
"VP.1.A.35.2017",106
"VP.1.A.51.2015",118
"VP.1.A.54.2015",160
"VP.1.A.61.2015",138
"VP.1.A.71.2016",117
"VP.1.A.80.2016",106
"VP.1.A.85.2017",86
"VP.1.B.11.2017",122
"VP.1.B.20.2015",112
"VP.1.B.35.2015",127
"VP.1.B.44.2017",135
"VP.1.B.51.2016",156
"VP.1.B.54.2016",138
"VP.1.B.61.2016",133
"VP.1.B.85.2015",128
"VP.1.B.91.2017",142
"VP.1.C.11.2015",122
"VP.1.C.20.2016",164
"VP.1.C.35.2016",76
"VP.1.C.44.2015",135
"VP.1.C.51.2017",173
"VP.1.C.54.2017",164
"VP.1.C.61.2017",102
"VP.1.C.85.2016",134
"VP.1.C.91.2015",100
"VP.2.A.11.2016",109
"VP.2.A.24.2015",80
"VP.2.A.44.2016",126
"VP.2.A.53.2017",114
"VP.2.A.59.2017",133
"VP.2.A.6.2017",94
"VP.2.A.67.2015",92
"VP.2.A.9.2015",110
"VP.2.A.91.2016",96
"VP.2.B.15.2016",132
"VP.2.B.29.2017",94
"VP.2.B.35.2016",143
"VP.2.B.53.2015",131
"VP.2.B.59.2015",117
"VP.2.B.6.2015",141
"VP.2.B.71.2017",88
"VP.2.B.8.2016",136
"VP.2.B.80.2017",141
"VP.2.C.15.2017",149
"VP.2.C.29.2015",107
"VP.2.C.35.2017",136
"VP.2.C.53.2016",104
"VP.2.C.59.2016",153
"VP.2.C.6.2016",134
"VP.2.C.71.2015",126
"VP.2.C.8.2017",86
"VP.2.C.80.2015",136
"VP.3.A.3.2017",94
"VP.3.A.31.2015",77
"VP.3.A.47.2015",94
"VP.3.A.52.2016",139
"VP.3.A.7.2016",176
"VP.3.A.73.2017",119
"VP.3.A.74.2015",60
"VP.3.A.82.2016",160
"VP.3.A.88.2017",112
"VP.3.B.3.2015",168
"VP.3.B.31.2016",101
"VP.3.B.47.2016",116
"VP.3.B.52.2017",122
"VP.3.B.7.2017",77
"VP.3.B.73.2015",116
"VP.3.B.74.2016",146
"VP.3.B.82.2017",131
"VP.3.B.88.2015",128
"VP.3.C.3.2016",109
"VP.3.C.31.2017",80
"VP.3.C.47.2017",113
"VP.3.C.52.2015",95
"VP.3.C.7.2015",130
"VP.3.C.73.2016",149
"VP.3.C.74.2017",155
"VP.3.C.82.2015",151
"VP.3.C.88.2016",127
"VP.4.A.13.2015",133
"VP.4.A.19.2017",105
"VP.4.A.2.2017",129
"VP.4.A.38.2017",95
"VP.4.A.58.2016",126
"VP.4.A.65.2016",88
"VP.4.A.73.2016",98
"VP.4.A.84.2015",130
"VP.4.A.85.2015",146
"VP.4.B.19.2015",102
"VP.4.B.2.2015",101
"VP.4.B.24.2016",148
"VP.4.B.38.2015",100
"VP.4.B.58.2017",106
"VP.4.B.65.2017",111
"VP.4.B.67.2016",145
"VP.4.B.73.2017",171
"VP.4.B.9.2016",155
"VP.4.C.00a.2015",135
"VP.4.C.00b.2015",140
"VP.4.C.00c.2015",113
"VP.4.C.19.2016",84
"VP.4.C.2.2016",59
"VP.4.C.24.2017",81
"VP.4.C.38.2016",124
"VP.4.C.67.2017",156
"VP.4.C.9.2017",111
"VP.5.A.10.2015",83
"VP.5.A.10.2017",85
"VP.5.A.14.2016",114
"VP.5.A.28.2016",134
"VP.5.A.29.2017",76
"VP.5.A.41.2016",135
"VP.5.A.78.2015",112
"VP.5.A.80.2017",117
"VP.5.A.83.2015",57
"VP.5.B.10.2015",146
"VP.5.B.10.2016",110
"VP.5.B.14.2017",154
"VP.5.B.28.2017",133
"VP.5.B.29.2015",129
"VP.5.B.41.2017",168
"VP.5.B.78.2016",124
"VP.5.B.80.2015",106
"VP.5.B.83.2016",135
"VP.5.C.10.2016",124
"VP.5.C.10.2017",88
"VP.5.C.14.2015",161
"VP.5.C.28.2015",107
"VP.5.C.29.2016",116
"VP.5.C.41.2015",164
"VP.5.C.78.2017",132
"VP.5.C.80.2016",100
"VP.5.C.83.2017",146
"VP.6.A.16.2015",117
"VP.6.A.3.2016",51
"VP.6.A.42.2015",94
"VP.6.A.47.2017",86
"VP.6.A.48.2017",89
"VP.6.A.53.2015",101
"VP.6.A.79.2016",60
"VP.6.A.86.2017",118
"VP.6.A.96.2016",74
"VP.6.B.13.2016",151
"VP.6.B.3.2017",146
"VP.6.B.47.2015",121
"VP.6.B.48.2015",121
"VP.6.B.79.2017",129
"VP.6.B.84.2016",133
"VP.6.B.85.2016",144
"VP.6.B.86.2015",78
"VP.6.B.96.2017",70
"VP.6.C.13.2017",156
"VP.6.C.3.2015",145
"VP.6.C.47.2016",125
"VP.6.C.48.2016",151
"VP.6.C.79.2015",138
"VP.6.C.84.2017",120
