"uid","grass","herb","horsetail","moss","rush","sedge","woodrush","cover_tot"
"HP.5.A.78.2015",39,15,0,2,42,6,0,104
"HP.5.A.83.2015",35,17,1,0,5,22,0,80
"HP.5.A.NA.2017",46,14,0,0,2,7,0,69
"HP.5.B.10.2015",35,10,0,2,7,2,0,56
"HP.5.B.10.2016",61,17,0,0,3,3,1,85
"HP.5.B.14.2017",35,10,0,0,16,5,1,67
"HP.5.B.28.2017",28,14,0,0,20,17,0,79
"HP.5.B.29.2015",58,13,0,0,28,2,0,101
"HP.5.B.41.2017",44,6,0,0,30,14,0,94
"HP.5.B.78.2016",51,7,0,1,42,12,1,114
"HP.5.B.80.2015",55,18,0,0,30,1,0,104
"HP.5.B.83.2016",31,10,0,0,38,5,1,85
"HP.5.C.10.2016",24,33,0,0,16,5,0,78
"HP.5.C.10.2017",42,32,0,0,35,14,0,123
"HP.5.C.14.2015",32,25,0,10,9,6,0,82
"HP.5.C.28.2015",38,25,0,0,12,15,0,90
"HP.5.C.29.2016",32,24,0,0,43,8,0,107
"HP.5.C.41.2015",61,9,0,13,16,11,0,110
"HP.5.C.78.2017",29,24,0,0,38,11,0,102
"HP.5.C.80.2016",25,13,0,0,35,5,0,78
"HP.5.C.83.2017",36,27,0,0,35,14,0,112
"HP.6.A.13.2015",22,4,0,16,12,11,0,65
"HP.6.A.3.2016",33,15,1,0,0,3,0,52
"HP.6.A.47.2017",51,8,0,0,21,6,0,86
"HP.6.A.48.2017",51,15,1,0,7,6,0,80
"HP.6.A.79.2016",42,8,1,0,42,4,1,98
"HP.6.A.83.2015",27,8,0,11,29,6,0,81
"HP.6.A.84.2015",10,7,0,8,45,0,0,70
"HP.6.A.86.2017",49,7,0,0,23,6,0,85
"HP.6.A.96.2016",40,9,0,0,19,7,1,76
"HP.6.B.13.2016",48,16,0,0,38,9,0,111
"HP.6.B.3.2017",43,22,0,0,36,14,0,115
"HP.6.B.48a.2015",51,17,0,0,23,15,0,106
"HP.6.B.48b.2015",37,17,0,0,0,14,0,68
"HP.6.B.79.2017",67,26,0,0,36,2,0,131
"HP.6.B.84.2016",69,8,0,0,35,7,0,119
"HP.6.B.85.2016",50,7,0,0,38,6,0,101
"HP.6.B.86.2015",40,17,0,7,16,17,0,97
"HP.6.B.96.2017",27,9,0,0,23,14,0,73
"HP.6.C.13.2017",18,32,0,0,23,2,0,75
"HP.6.C.3.2015",40,20,0,13,16,2,0,91
"HP.6.C.47.2016",35,35,1,0,9,7,0,87
"HP.6.C.48.2016",10,43,0,0,12,8,1,74
"HP.6.C.79.2015",32,20,0,0,20,7,0,79
"HP.6.C.84.2017",38,46,0,0,23,16,1,124
"HP.6.C.85.2017",70,55,0,0,28,18,0,171
"HP.6.C.86.2016",45,59,0,0,33,24,0,161
"HP.6.C.96.2015",21,19,0,0,23,8,0,71
"HP.7.A.17.2017",57,7,0,0,23,13,1,101
"HP.7.A.24.2016",47,22,1,0,16,14,0,100
"HP.7.A.24.2017",32,7,0,0,24,16,0,79
"HP.7.A.33.2017",52,8,2,0,28,5,0,95
"HP.7.A.50.2015",43,12,0,12,16,22,0,105
"HP.7.A.59.2015",40,2,0,11,16,22,0,91
"HP.7.A.63.2016",60,8,0,0,30,8,0,106
"HP.7.A.98.2015",48,8,0,10,24,1,0,91
"HP.7.A.99.2016",53,9,0,0,7,20,0,89
"HP.7.B.17.2015",29,24,0,4,39,17,0,113
"HP.7.B.24.2015",46,12,0,1,36,4,0,99
"HP.7.B.24.2017",40,12,0,0,28,5,0,85
"HP.7.B.33.2015",42,30,0,0,28,8,0,108
"HP.7.B.50.2016",26,11,0,0,30,2,0,69
"HP.7.B.59.2016",55,28,0,0,30,14,1,128
"HP.7.B.63.2017",48,34,0,0,20,27,2,131
"HP.7.B.98.2016",34,38,0,0,30,12,0,114
"HP.7.B.99.2017",51,14,0,0,28,8,1,102
"HP.7.C.17.2016",43,23,0,0,7,17,0,90
"HP.7.C.24.2015",29,24,0,0,40,1,0,94
"HP.7.C.24.2016",19,14,0,0,34,11,0,78
"HP.7.C.33.2016",23,17,0,0,45,17,0,102
"HP.7.C.50.2017",46,11,0,0,28,19,1,105
"HP.7.C.59.2017",26,24,0,0,21,27,0,98
"HP.7.C.63.2015",33,31,0,0,40,6,1,111
"HP.7.C.98.2017",32,20,0,0,16,28,2,98
"HP.7.C.99.2015",27,22,0,0,46,7,0,102
"HP.8.A.12.2016",40,9,0,6,7,2,0,64
"HP.8.A.16.2015",45,14,0,13,12,2,0,86
"HP.8.A.31.2016",15,19,0,0,28,9,0,71
"HP.8.A.42.2015",61,19,0,0,34,7,0,121
"HP.8.A.45.2017",30,7,0,0,19,14,0,70
"HP.8.A.47.2016",40,9,0,0,8,15,0,72
"HP.8.A.53.2015",37,8,0,7,20,14,0,86
"HP.8.A.66.2017",54,11,0,0,21,5,1,92
"HP.8.A.91.2017",48,5,0,0,16,0,1,70
"HP.8.B.12.2017",45,24,0,0,20,23,0,112
"HP.8.B.16.2016",29,26,0,0,55,16,0,126
"HP.8.B.31.2017",40,34,0,0,28,27,2,131
"HP.8.B.42.2016",43,15,0,0,12,21,0,91
"HP.8.B.45.2015",60,31,0,13,16,5,0,125
"HP.8.B.47.2017",21,34,0,0,35,9,0,99
"HP.8.B.53.2016",35,25,0,0,25,23,0,108
"HP.8.B.66.2015",13,43,0,10,28,3,0,97
"HP.8.B.91.2015",25,14,0,0,38,3,0,80
"HP.8.C.12.2015",39,26,0,13,30,5,0,113
"HP.8.C.16.2017",36,34,0,0,30,22,1,123
"HP.8.C.37.2015",28,25,0,0,28,17,0,98
"HP.8.C.41.2015",23,24,0,0,36,2,0,85
"HP.8.C.42.2017",59,25,0,0,20,27,0,131
"HP.8.C.45.2016",29,24,0,0,23,10,1,87
"HP.8.C.53.2017",60,17,0,0,23,16,0,116
"HP.8.C.66.2016",53,22,0,0,20,25,0,120
"HP.8.C.91.2016",37,29,0,0,7,19,0,92
"LM.1.A.11.2016",65,62,0,0,0,0,0,127
"LM.1.A.20.2017",76,83,0,0,16,0,0,175
"LM.1.A.35.2017",68,54,0,0,1,1,0,124
"LM.1.A.44.2016",65,49,0,0,0,0,0,114
"LM.1.A.51.2015",55,53,0,0,20,0,0,128
"LM.1.A.61.2015",49,57,0,0,20,16,0,142
"LM.1.A.64.2015",39,58,0,0,23,0,0,120
"LM.1.A.85.2017",59,57,0,0,20,1,0,137
"LM.1.A.91.2016",74,38,0,0,0,0,0,112
"LM.1.B.11.2017",65,64,0,0,12,5,0,146
"LM.1.B.20.2015",54,69,1,0,20,1,0,145
"LM.1.B.35.2015",49,56,0,0,20,1,0,126
"LM.1.B.44.2017",36,68,0,0,7,0,0,111
"LM.1.B.51.2016",59,72,0,0,12,5,0,148
"LM.1.B.54.2016",60,40,0,0,16,5,0,121
"LM.1.B.61.2016",42,65,1,0,3,8,0,119
"LM.1.B.85.2015",54,54,0,0,28,5,0,141
"LM.1.B.91.2017",67,77,0,0,45,0,0,189
"LM.1.C.11.2015",64,51,0,0,16,6,0,137
"LM.1.C.20.2016",65,32,1,0,5,0,0,103
"LM.1.C.35.2016",63,58,1,0,3,0,0,125
"LM.1.C.44.2015",58,52,0,0,3,1,0,114
"LM.1.C.51.2017",84,43,1,0,42,5,0,175
"LM.1.C.54.2017",55,62,0,0,19,5,0,141
"LM.1.C.61.2017",55,62,0,0,3,1,0,121
"LM.1.C.86.2016",70,70,0,0,45,0,0,185
"LM.1.C.91.2015",79,55,0,0,12,5,0,151
"LM.2.A.15.2015",60,76,0,0,28,5,0,169
"LM.2.A.29.2016",49,55,0,0,16,2,1,123
"LM.2.A.35.2015",76,50,0,0,23,0,0,149
"LM.2.A.53.2017",29,85,0,0,30,0,0,144
"LM.2.A.59.2017",55,57,0,0,23,5,0,140
"LM.2.A.6.2017",66,80,0,0,20,8,0,174
"LM.2.A.71.2016",51,72,0,0,23,5,0,151
"LM.2.A.8.2015",66,58,0,0,23,1,0,148
"LM.2.A.80.2016",69,52,0,0,15,8,0,144
"LM.2.B.15.2016",57,39,0,0,45,0,0,141
"LM.2.B.29.2017",69,80,1,0,42,5,0,197
"LM.2.B.35.2016",79,65,0,0,7,11,0,162
"LM.2.B.56.2015",75,66,1,0,28,5,0,175
"LM.2.B.59.2015",62,71,1,0,16,1,0,151
"LM.2.B.6.2015",65,88,0,0,20,1,0,174
